id,ed_0to2,ed_3to4,ed_5to8
AT11,0.165,0.557,0.27899999999999997
AT12,0.147,0.551,0.302
AT13,0.16899999999999998,0.43200000000000005,0.39899999999999997
AT21,0.106,0.6,0.294
AT22,0.14,0.586,0.27399999999999997
AT31,0.157,0.5529999999999999,0.29100000000000004
AT32,0.138,0.547,0.315
AT33,0.179,0.539,0.282
AT34,0.196,0.527,0.27699999999999997
BE10,0.29100000000000004,0.26899999999999996,0.441
BE21,0.239,0.41200000000000003,0.349
BE22,0.251,0.42,0.32899999999999996
BE23,0.23199999999999998,0.37200000000000005,0.396
BE24,0.16699999999999998,0.361,0.473
BE25,0.23399999999999999,0.413,0.35200000000000004
BE31,0.163,0.315,0.522
BE32,0.312,0.38799999999999996,0.3
BE33,0.301,0.365,0.33399999999999996
BE34,0.249,0.4,0.35100000000000003
BE35,0.23399999999999999,0.41700000000000004,0.349
BG31,0.196,0.605,0.19899999999999998
BG32,0.204,0.552,0.244
BG33,0.222,0.523,0.255
BG34,0.22399999999999998,0.5579999999999999,0.218
BG41,0.08900000000000001,0.517,0.39399999999999996
BG42,0.22399999999999998,0.562,0.215
CH01,0.16899999999999998,0.42200000000000004,0.409
CH02,0.125,0.498,0.377
CH03,0.111,0.47200000000000003,0.41700000000000004
CH04,0.10099999999999999,0.392,0.508
CH05,0.122,0.525,0.35200000000000004
CH06,0.106,0.475,0.419
CH07,0.154,0.488,0.358
CY00,0.205,0.376,0.419
CZ01,0.027999999999999997,0.539,0.433
CZ02,0.057,0.73,0.214
CZ03,0.066,0.743,0.191
CZ04,0.13,0.7290000000000001,0.142
CZ05,0.07200000000000001,0.7390000000000001,0.18899999999999997
CZ06,0.046,0.698,0.256
CZ07,0.061,0.748,0.191
CZ08,0.08199999999999999,0.72,0.198
DE11,0.145,0.524,0.331
DE12,0.146,0.532,0.322
DE13,0.136,0.575,0.29
DE14,0.13,0.562,0.308
DE21,0.099,0.517,0.384
DE22,0.11800000000000001,0.6629999999999999,0.21899999999999997
DE23,0.135,0.617,0.248
DE24,0.12,0.648,0.23199999999999998
DE25,0.14,0.5660000000000001,0.294
DE26,0.127,0.601,0.272
DE27,0.133,0.622,0.244
DE30,0.138,0.47100000000000003,0.391
DE40,0.064,0.664,0.272
DE50,0.184,0.54,0.276
DE60,0.142,0.494,0.364
DE71,0.158,0.508,0.33299999999999996
DE72,0.135,0.584,0.281
DE73,0.11699999999999999,0.642,0.24100000000000002
DE80,0.075,0.667,0.258
DE91,0.142,0.607,0.251
DE92,0.154,0.5920000000000001,0.254
DE93,0.134,0.6409999999999999,0.225
DE94,0.151,0.649,0.2
DEA1,0.18899999999999997,0.546,0.265
DEA2,0.17300000000000001,0.524,0.303
DEA3,0.159,0.596,0.245
DEA4,0.168,0.602,0.23
DEA5,0.19399999999999998,0.578,0.22699999999999998
DEB1,0.16899999999999998,0.599,0.23199999999999998
DEB2,0.138,0.602,0.261
DEB3,0.17600000000000002,0.547,0.27699999999999997
DEC0,0.158,0.612,0.23
DED2,0.047,0.639,0.314
DED4,0.04,0.721,0.239
DED5,0.051,0.636,0.313
DEE0,0.069,0.7020000000000001,0.22899999999999998
DEF0,0.12300000000000001,0.636,0.24100000000000002
DEG0,0.049,0.682,0.26899999999999996
DK01,0.14800000000000002,0.355,0.498
DK02,0.231,0.47600000000000003,0.293
DK03,0.23,0.46299999999999997,0.307
DK04,0.187,0.45,0.363
DK05,0.226,0.46799999999999997,0.306
EA19,0.263,0.43799999999999994,0.298
EE00,0.109,0.502,0.389
EL30,0.18,0.44,0.38
EL41,0.305,0.439,0.256
EL42,0.37,0.456,0.174
EL43,0.324,0.40700000000000003,0.268
EL51,0.40399999999999997,0.35,0.24600000000000002
EL52,0.292,0.395,0.313
EL53,0.38799999999999996,0.39299999999999996,0.218
EL54,0.35,0.368,0.282
EL61,0.322,0.423,0.256
EL62,0.379,0.413,0.20800000000000002
EL63,0.38799999999999996,0.384,0.22699999999999998
EL64,0.386,0.40299999999999997,0.21100000000000002
EL65,0.349,0.43700000000000006,0.214
ES11,0.435,0.20800000000000002,0.35700000000000004
ES12,0.35700000000000004,0.23600000000000002,0.40700000000000003
ES13,0.365,0.244,0.391
ES21,0.295,0.21899999999999997,0.486
ES22,0.321,0.23399999999999999,0.445
ES23,0.397,0.22899999999999998,0.374
ES24,0.363,0.27399999999999997,0.363
ES30,0.289,0.245,0.466
ES41,0.419,0.239,0.34299999999999997
ES42,0.509,0.218,0.27399999999999997
ES43,0.578,0.172,0.251
ES51,0.396,0.21899999999999997,0.386
ES52,0.433,0.23800000000000002,0.32899999999999996
ES53,0.423,0.285,0.292
ES61,0.508,0.2,0.29100000000000004
ES62,0.499,0.217,0.284
ES63,0.519,0.19899999999999998,0.282
ES64,0.502,0.228,0.26899999999999996
ES70,0.461,0.245,0.294
EU15,0.257,0.42200000000000004,0.321
EU28,0.23,0.462,0.307
FI19,0.115,0.473,0.41200000000000003
FI1B,0.11699999999999999,0.366,0.516
FI1C,0.129,0.48200000000000004,0.38799999999999996
FI1D,0.11599999999999999,0.509,0.375
FI20,0.17600000000000002,0.532,0.292
FR10,0.198,0.32799999999999996,0.473
FRB0,0.21899999999999997,0.488,0.294
FRC1,0.235,0.49,0.276
FRC2,0.21600000000000003,0.48200000000000004,0.302
FRD1,0.26,0.488,0.252
FRD2,0.266,0.46299999999999997,0.271
FRE1,0.249,0.465,0.28600000000000003
FRE2,0.301,0.474,0.225
FRF1,0.18600000000000003,0.47700000000000004,0.337
FRF2,0.305,0.465,0.23
FRF3,0.22399999999999998,0.47600000000000003,0.3
FRG0,0.18100000000000002,0.49700000000000005,0.322
FRH0,0.162,0.5,0.33799999999999997
FRI1,0.19399999999999998,0.483,0.32299999999999995
FRI2,0.18899999999999997,0.49,0.321
FRI3,0.21899999999999997,0.508,0.273
FRJ1,0.275,0.414,0.312
FRJ2,0.172,0.441,0.387
FRK1,0.203,0.485,0.312
FRK2,0.179,0.43799999999999994,0.38299999999999995
FRL0,0.22899999999999998,0.41200000000000003,0.359
FRM0,0.20600000000000002,0.413,0.382
FRY1,0.423,0.368,0.209
FRY2,0.363,0.39399999999999996,0.243
FRY3,0.545,0.278,0.177
FRY4,0.44299999999999995,0.349,0.20800000000000002
HR03,0.125,0.647,0.228
HR04,0.19699999999999998,0.5720000000000001,0.231
HU11,0.084,0.498,0.419
HU12,0.127,0.611,0.262
HU21,0.174,0.636,0.191
HU22,0.14800000000000002,0.6609999999999999,0.19
HU23,0.213,0.598,0.18899999999999997
HU31,0.212,0.616,0.172
HU32,0.24100000000000002,0.588,0.171
HU33,0.171,0.629,0.2
IE04,0.222,0.379,0.39899999999999997
IE05,0.195,0.397,0.409
IE06,0.168,0.336,0.496
IS00,0.218,0.377,0.405
ITC1,0.391,0.439,0.17
ITC2,0.418,0.424,0.158
ITC3,0.36200000000000004,0.442,0.196
ITC4,0.368,0.439,0.193
ITF1,0.365,0.465,0.17
ITF2,0.41,0.40700000000000003,0.184
ITF3,0.48,0.368,0.152
ITF4,0.511,0.35600000000000004,0.133
ITF5,0.4,0.441,0.159
ITF6,0.467,0.382,0.151
ITG1,0.503,0.366,0.131
ITG2,0.503,0.34600000000000003,0.15
ITH1,0.32799999999999996,0.507,0.165
ITH2,0.308,0.505,0.187
ITH3,0.376,0.462,0.162
ITH4,0.335,0.491,0.174
ITH5,0.336,0.457,0.207
ITI1,0.363,0.434,0.203
ITI2,0.321,0.47200000000000003,0.207
ITI3,0.364,0.444,0.192
ITI4,0.309,0.461,0.231
LT01,0.025,0.451,0.524
LT02,0.065,0.589,0.34600000000000003
LU00,0.21600000000000003,0.358,0.426
LV00,0.09300000000000001,0.574,0.33399999999999996
ME00,0.145,0.603,0.253
MK00,0.316,0.47600000000000003,0.207
MT00,0.516,0.262,0.221
NL11,0.22899999999999998,0.409,0.363
NL12,0.245,0.483,0.272
NL13,0.248,0.462,0.289
NL21,0.23,0.45,0.32
NL22,0.242,0.424,0.33399999999999996
NL23,0.247,0.452,0.301
NL31,0.183,0.349,0.46799999999999997
NL32,0.198,0.373,0.429
NL33,0.23199999999999998,0.402,0.366
NL34,0.263,0.47600000000000003,0.261
NL41,0.247,0.409,0.344
NL42,0.258,0.449,0.293
NO01,0.157,0.308,0.534
NO02,0.2,0.44799999999999995,0.35200000000000004
NO03,0.20800000000000002,0.42100000000000004,0.371
NO04,0.185,0.415,0.4
NO05,0.153,0.42100000000000004,0.426
NO06,0.141,0.426,0.43200000000000005
NO07,0.212,0.39299999999999996,0.395
PL21,0.075,0.617,0.307
PL22,0.061,0.667,0.272
PL41,0.083,0.6609999999999999,0.256
PL42,0.12300000000000001,0.616,0.26
PL43,0.09699999999999999,0.679,0.225
PL51,0.087,0.625,0.28800000000000003
PL52,0.083,0.67,0.247
PL61,0.099,0.669,0.23199999999999998
PL62,0.16,0.608,0.231
PL63,0.08900000000000001,0.605,0.306
PL71,0.094,0.634,0.273
PL72,0.102,0.624,0.27399999999999997
PL81,0.09699999999999999,0.637,0.266
PL82,0.07200000000000001,0.654,0.275
PL84,0.10800000000000001,0.6,0.292
PL91,0.037000000000000005,0.43,0.5329999999999999
PL92,0.111,0.6709999999999999,0.218
PT11,0.593,0.205,0.20199999999999999
PT15,0.525,0.264,0.21100000000000002
PT16,0.546,0.222,0.233
PT17,0.40399999999999997,0.273,0.32299999999999995
PT18,0.5670000000000001,0.248,0.185
PT20,0.6779999999999999,0.174,0.14800000000000002
PT30,0.625,0.18600000000000003,0.18899999999999997
RO11,0.245,0.581,0.174
RO12,0.23199999999999998,0.593,0.175
RO21,0.307,0.5770000000000001,0.115
RO22,0.282,0.589,0.129
RO31,0.23800000000000002,0.63,0.133
RO32,0.13,0.519,0.35100000000000003
RO41,0.20800000000000002,0.623,0.168
RO42,0.188,0.657,0.155
RS11,0.094,0.5670000000000001,0.33899999999999997
RS12,0.217,0.585,0.19899999999999998
RS21,0.252,0.5770000000000001,0.171
RS22,0.243,0.5660000000000001,0.191
SE11,0.127,0.369,0.504
SE12,0.162,0.45799999999999996,0.38
SE21,0.18,0.48100000000000004,0.34
SE22,0.147,0.425,0.428
SE23,0.155,0.444,0.4
SE31,0.17,0.504,0.326
SE32,0.155,0.516,0.33
SE33,0.11699999999999999,0.506,0.376
SI03,0.139,0.594,0.268
SI04,0.113,0.534,0.353
SK01,0.043,0.5670000000000001,0.39
SK02,0.065,0.7390000000000001,0.19699999999999998
SK03,0.092,0.708,0.2
SK04,0.109,0.698,0.193
TR10,0.5870000000000001,0.187,0.226
TR21,0.633,0.21899999999999997,0.14800000000000002
TR22,0.633,0.18600000000000003,0.18100000000000002
TR31,0.585,0.198,0.21600000000000003
TR32,0.67,0.166,0.165
TR33,0.7140000000000001,0.15,0.136
TR41,0.61,0.212,0.17800000000000002
TR42,0.619,0.209,0.172
TR51,0.496,0.217,0.28600000000000003
TR52,0.725,0.129,0.146
TR61,0.596,0.19899999999999998,0.204
TR62,0.675,0.16899999999999998,0.156
TR63,0.7070000000000001,0.165,0.128
TR71,0.7170000000000001,0.163,0.12
TR72,0.677,0.17600000000000002,0.14800000000000002
TR81,0.7,0.187,0.113
TR82,0.728,0.146,0.126
TR83,0.716,0.14800000000000002,0.136
TR90,0.643,0.185,0.172
TRA1,0.698,0.16399999999999998,0.138
TRA2,0.7859999999999999,0.125,0.08900000000000001
TRB1,0.631,0.185,0.184
TRB2,0.8220000000000001,0.09699999999999999,0.08199999999999999
TRC1,0.7170000000000001,0.139,0.14400000000000002
TRC2,0.807,0.095,0.098
TRC3,0.755,0.133,0.113
UKC1,0.245,0.428,0.327
UKC2,0.237,0.38799999999999996,0.375
UKD1,0.20800000000000002,0.429,0.363
UKD3,0.23,0.376,0.39399999999999996
UKD4,0.21,0.42200000000000004,0.368
UKD6,0.16,0.371,0.46799999999999997
UKD7,0.254,0.389,0.35700000000000004
UKE1,0.254,0.408,0.33799999999999997
UKE2,0.18,0.40299999999999997,0.41700000000000004
UKE3,0.22399999999999998,0.435,0.341
UKE4,0.266,0.387,0.34700000000000003
UKF1,0.21600000000000003,0.41600000000000004,0.368
UKF2,0.20800000000000002,0.425,0.36700000000000005
UKF3,0.226,0.457,0.317
UKG1,0.215,0.35700000000000004,0.428
UKG2,0.20800000000000002,0.44799999999999995,0.344
UKG3,0.297,0.37799999999999995,0.325
UKH1,0.226,0.396,0.37799999999999995
UKH2,0.187,0.364,0.449
UKH3,0.245,0.419,0.336
UKI3,0.091,0.162,0.747
UKI4,0.152,0.252,0.597
UKI5,0.193,0.349,0.45799999999999996
UKI6,0.139,0.325,0.536
UKI7,0.149,0.3,0.55
UKJ1,0.151,0.335,0.514
UKJ2,0.161,0.37200000000000005,0.46799999999999997
UKJ3,0.18899999999999997,0.41100000000000003,0.4
UKJ4,0.218,0.389,0.39299999999999996
UKK1,0.16399999999999998,0.37799999999999995,0.45799999999999996
UKK2,0.195,0.397,0.40700000000000003
UKK3,0.201,0.451,0.348
UKK4,0.18899999999999997,0.41100000000000003,0.4
UKL1,0.22899999999999998,0.41700000000000004,0.354
UKL2,0.20600000000000002,0.359,0.435
UKM5,0.171,0.34,0.489
UKM6,0.22,0.33899999999999997,0.441
UKM7,0.166,0.325,0.509
UKM8,0.226,0.292,0.48200000000000004
UKM9,0.23399999999999999,0.34700000000000003,0.419
UKN0,0.262,0.39399999999999996,0.344
